제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료
샹스프랑보아즈,4,3,3,2,13,0,과실주,500ml,15000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
서울의밤,,,,2,25,0,기타주류,375ml,7500,더한주류,"매실증류주원액,벌꿀,,노간주나무열매,정제수"
서주16,3,2,3,3,16,0,약주/청주,400ml,22500,오대서주양조,"백미,감자,누룩,효모,정제수"
석로주,1,1,1,4,13,0,약주/청주,720ml,34000,석이원주조,"국내산쌀,석이버섯,누룩,효모,정제수"
석탄주약주,1,3,2,3,15,0,약주/청주,500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
석탄주탁주,2,3,3,4,15,0,탁주,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
선운산복분자와인,4,4,3,2,13,0,과실주,300ml,6000,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
선운산복분자주,4,4,3,2,16,0,과실주,375ml,6250,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
선운산복분자주프리미엄,4,3,3,2,19,0,과실주,700ml,40000,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
선운산의아침복분자막걸리,2,2,1,4,6,0,탁주,750ml,2333,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수"
선호생막걸리,2,3,3,3,6,1,탁주,750ml,1700,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수"
설궁,2,,,2,30,0,기타주류,700ml,10000,솔래원,"자연산송이버섯,산양산삼,토종벌꿀"
설레온,2,,,3,40,0,증류주,375ml,20000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,정제수"
설련주,2,4,2,3,16,0,약주/청주,750ml,35000,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩"
설성만월막걸리,2,3,2,3,8,0,탁주,750ml,4000,병영주조장,"정제수,유기농쌀국내산,누룩,유기농올리고당등"
설하담,3,1,4,2,8,1,탁주,475ml,3900,리큐랩주식회사,"국내산멥쌀,개량누룩,정제수,이산화탄소"
성포생막걸리,3,3,3,3,6,0,탁주,750ml,1100,성포양조장,"쌀,소맥분,전분당,정제수,무농약미나리추출액,정제효소,종국,효모,아스파탐"
세우리,,,,4,45,0,증류주,700ml,250000,제주샘영농조합법인,"산양삼,하수오,구기자,쌀"
세종대왕어주약주,3,1,1,3,15,0,약주/청주,500ml,25900,농업회사법인장희도가(주),"쌀,누룩,정제수"
세종대왕어주탁주,3,3,1,2,13,0,탁주,500ml,16900,농업회사법인장희도가(주),"쌀,누룩,정제수"
세종쌀막걸리,3,1,3,3,6,0,탁주,750ml,1500,조은술세종,"정제수,백미,소맥분,전분당,효모,젖산등"
세종알밤주,4,1,3,4,6,0,기타주류,750ml,1500,조은술세종,"정제수,백미,소맥분,알밤,전분당,효모,젖산등"
세종오가닉,1,3,,1,13,0,약주/청주,375ml,9000,조은술세종,"정제수,유기농백미,국,효모,정제효소,구연산"
세종청주생막걸리,2,1,3,3,6,0,탁주,750ml,1500,조은술세종,"쌀,소맥분,국,조제종국,효모,물엿등"
소나무와학,4,,,4,43,0,증류주,750ml,39000,용두산조은술,"쌀,솔잎,황기,당귀,효모,아스파탐"
소백산검은콩막걸리,3,1,1,3,6,0,탁주,750ml,1800,대강양조장,"백미,소맥분,검은콩,검은깨등"
소백산생막걸리,2,3,2,4,6,0,탁주,750ml,1980,대강양조장,"쌀,정제수,소맥분,입국,효모등"
소백산생만찬주,2,2,2,2,6,0,탁주,750ml,1200,대강양조장,"정제수,쌀,소맥분,입국,효모,아스파탐등"
소백산오곡진상주,1,4,3,3,7,0,탁주,750ml,1500,대강양조장,"쌀,밀,보리,옥수수,조등"
